Dataset	Domains w/ ext	Google	Facebook	Twitter	Microsoft	Amazon	Adobe	Yahoo!	AddThis	AppNexus	comScore	Quantcast
alexa.2014-09-01.top.se.10000-http	2684	0.9329359165424739	0.3334575260804769	0.13077496274217584	0.02570789865871833	0.10842026825633383	0.044336810730253355	0.01639344262295082	0.0815946348733234	0.12183308494783905	0.10879284649776454	0.009687034277198211
alexa.2014-09-01.top.se.10000-http-www	2779	0.931630082763584	0.33465275278877293	0.12882331774019432	0.016192875134940627	0.10939186757826556	0.04390068369917236	0.016552716804605974	0.0798848506657071	0.11442965095358043	0.10795250089960418	0.00791651673263764
alexa.2014-09-01.top.se.10000-https	422	0.957345971563981	0.4052132701421801	0.13981042654028436	0.030805687203791468	0.17061611374407584	0.06398104265402843	0.009478672985781991	0.07345971563981042	0.13033175355450238	0.08767772511848342	0.002369668246445498
alexa.2014-09-01.top.se.10000-https-www	630	0.9476190476190476	0.353968253968254	0.09682539682539683	0.0380952380952381	0.1761904761904762	0.05714285714285714	0.012698412698412698	0.06349206349206349	0.12063492063492064	0.09365079365079365	0.004761904761904762
com.2014-08-29.random.10000-http	6222	0.7735454837672774	0.08293153326904533	0.05303760848601736	0.0036965605914496946	0.03937640630022501	0.013982642237222759	0.01800064288010286	0.02812600450016072	0.016232722597235617	0.04130504660880746	0.017518482802957248
com.2014-08-29.random.10000-http-www	6241	0.771350745072905	0.0804358275917321	0.05143406505367729	0.0035250761095978207	0.03765422207979491	0.014420765902900177	0.01906745713827912	0.02804037814452812	0.015382150296426854	0.04053837526037494	0.017144688351225765
com.2014-08-29.random.10000-https	41	0.8536585365853658	0.2926829268292683	0.0975609756097561	0	0.024390243902439025	0	0.024390243902439025	0.04878048780487805	0.04878048780487805	0.07317073170731707	0.024390243902439025
com.2014-08-29.random.10000-https-www	43	0.8604651162790697	0.3023255813953488	0.16279069767441862	0	0.09302325581395349	0.023255813953488372	0.023255813953488372	0.06976744186046512	0.09302325581395349	0.11627906976744186	0.023255813953488372
dk.2014-07-23.random.10000-http	4626	0.7360570687418937	0.13056636402939906	0.03199308257674016	0.00324254215304799	0.05533938607868569	0.017509727626459144	0.011456982274102896	0.035667963683527884	0.01621271076523995	0.04669260700389105	0.0062689148292261136
dk.2014-07-23.random.10000-http-www	4773	0.7263775403310287	0.12675466163838256	0.03121726377540331	0.002933165723863398	0.054682589566310495	0.016760946993505135	0.011104127383197151	0.03624554787345485	0.01571338780641106	0.04672113974439556	0.006494866959983239
dk.2014-07-23.random.10000-https	16	0.9375	0.125	0	0	0	0.0625	0	0.0625	0.0625	0.0625	0
dk.2014-07-23.random.10000-https-www	22	0.9090909090909091	0.13636363636363635	0.045454545454545456	0	0.13636363636363635	0.045454545454545456	0	0.045454545454545456	0.045454545454545456	0.045454545454545456	0
net.2014-08-29.random.10000-http	5757	0.7729720340455098	0.07295466388744137	0.045509814139308664	0.002779225290950148	0.026055237102657634	0.015806843842278966	0.016327948584332116	0.022754907069654332	0.017891262810491575	0.031092582942504776	0.010943199583116207
net.2014-08-29.random.10000-http-www	5839	0.7686247645144717	0.07364274704572701	0.04658331906148313	0.0025689330364788493	0.026203116972084262	0.018667580065079636	0.015242336016441172	0.024833019352628875	0.01832505566021579	0.03185476965233773	0.011303305360506936
net.2014-08-29.random.10000-https	16	0.9375	0.3125	0.125	0	0	0.0625	0	0	0	0.0625	0
net.2014-08-29.random.10000-https-www	20	0.85	0.35	0.2	0	0.05	0.05	0	0	0.05	0.05	0
reach50.2014w35.se-http	43	0.7906976744186046	0.20930232558139536	0.11627906976744186	0.023255813953488372	0.11627906976744186	0.11627906976744186	0.023255813953488372	0.023255813953488372	0.18604651162790697	0.20930232558139536	0.046511627906976744
reach50.2014w35.se-http-www	42	0.7619047619047619	0.23809523809523808	0.11904761904761904	0.047619047619047616	0.11904761904761904	0.11904761904761904	0.023809523809523808	0.023809523809523808	0.14285714285714285	0.23809523809523808	0.047619047619047616
reach50.2014w35.se-https	17	0.7058823529411765	0.11764705882352941	0.11764705882352941	0	0.17647058823529413	0.058823529411764705	0.058823529411764705	0.058823529411764705	0.058823529411764705	0.35294117647058826	0.058823529411764705
reach50.2014w35.se-https-www	26	0.7692307692307693	0.038461538461538464	0.07692307692307693	0	0.07692307692307693	0.038461538461538464	0.038461538461538464	0	0.038461538461538464	0.19230769230769232	0.038461538461538464
se.2014-07-10.random.100000-http	54882	0.7122189424583653	0.12754637221675594	0.04065085091651179	0.003243322036368937	0.04795743595350024	0.010641011624940782	0.005903574942604133	0.025254181698917678	0.011406289858241318	0.03731642432855946	0.006377318610837798
se.2014-07-10.random.100000-http-www	57547	0.705145359445323	0.12454167897544616	0.03935913253514518	0.0030757467808921403	0.046448989521608426	0.010773802283351	0.006134116461327263	0.025196795662675724	0.011382000799346622	0.03671781326567849	0.006377395867725511
se.2014-07-10.random.100000-https	226	0.911504424778761	0.28761061946902655	0.048672566371681415	0.01327433628318584	0.12389380530973451	0.02654867256637168	0.008849557522123894	0.03982300884955752	0.022123893805309734	0.04424778761061947	0
se.2014-07-10.random.100000-https-www	285	0.9087719298245615	0.23508771929824562	0.031578947368421054	0.010526315789473684	0.14385964912280702	0.03859649122807018	0.0035087719298245615	0.03859649122807018	0.042105263157894736	0.04912280701754386	0
se.healthstatus.2013.counties-http	18	0.8333333333333334	0.05555555555555555	0.05555555555555555	0	0	0	0	0.05555555555555555	0	0.1111111111111111	0
se.healthstatus.2013.counties-http-www	21	0.8571428571428571	0.09523809523809523	0.047619047619047616	0	0	0	0	0.047619047619047616	0	0.09523809523809523	0
se.healthstatus.2013.counties-https	3	1	0	0	0	0	0	0	0	0	0	0
se.healthstatus.2013.counties-https-www	5	1	0	0	0	0	0	0	0	0	0	0
se.healthstatus.2013.domain-registrars-http	108	0.8981481481481481	0.18518518518518517	0.09259259259259259	0.018518518518518517	0.05555555555555555	0.06481481481481481	0	0.018518518518518517	0.06481481481481481	0.018518518518518517	0
se.healthstatus.2013.domain-registrars-http-www	113	0.9026548672566371	0.18584070796460178	0.08849557522123894	0.008849557522123894	0.05309734513274336	0.05309734513274336	0	0.008849557522123894	0.061946902654867256	0.008849557522123894	0
se.healthstatus.2013.domain-registrars-https	34	0.9117647058823529	0.3235294117647059	0.14705882352941177	0.029411764705882353	0.08823529411764706	0.029411764705882353	0	0	0.14705882352941177	0	0
se.healthstatus.2013.domain-registrars-https-www	36	0.8888888888888888	0.2777777777777778	0.1111111111111111	0	0.08333333333333333	0.08333333333333333	0	0	0.1111111111111111	0	0
se.healthstatus.2013.financial-services-http	67	0.7014925373134329	0.07462686567164178	0.029850746268656716	0	0.04477611940298507	0.11940298507462686	0.014925373134328358	0.029850746268656716	0.05970149253731343	0.04477611940298507	0
se.healthstatus.2013.financial-services-http-www	71	0.704225352112676	0.07042253521126761	0.028169014084507043	0	0.04225352112676056	0.1267605633802817	0.014084507042253521	0.028169014084507043	0.07042253521126761	0.04225352112676056	0
se.healthstatus.2013.financial-services-https	16	0.8125	0.125	0.0625	0	0.0625	0.1875	0	0.0625	0.0625	0.125	0
se.healthstatus.2013.financial-services-https-www	31	0.8709677419354839	0.0967741935483871	0.03225806451612903	0	0.0967741935483871	0.1935483870967742	0	0.06451612903225806	0.06451612903225806	0.0967741935483871	0
se.healthstatus.2013.gocs-http	48	1	0.08333333333333333	0.041666666666666664	0	0.125	0	0	0.10416666666666667	0.0625	0.10416666666666667	0
se.healthstatus.2013.gocs-http-www	55	0.9636363636363636	0.09090909090909091	0.07272727272727272	0	0.12727272727272726	0	0	0.09090909090909091	0.05454545454545454	0.10909090909090909	0
se.healthstatus.2013.gocs-https	4	1	0.25	0.5	0	0.25	0	0	0	0	0	0
se.healthstatus.2013.gocs-https-www	9	1	0.2222222222222222	0.2222222222222222	0	0.2222222222222222	0	0	0.1111111111111111	0.1111111111111111	0.1111111111111111	0
se.healthstatus.2013.higher-education-http	38	1	0.15789473684210525	0.13157894736842105	0	0.02631578947368421	0	0.02631578947368421	0.13157894736842105	0	0.13157894736842105	0
se.healthstatus.2013.higher-education-http-www	44	0.9772727272727273	0.20454545454545456	0.11363636363636363	0	0.022727272727272728	0	0.022727272727272728	0.11363636363636363	0	0.1590909090909091	0
se.healthstatus.2013.higher-education-https	9	1	0.2222222222222222	0.2222222222222222	0	0	0	0	0.2222222222222222	0	0.2222222222222222	0
se.healthstatus.2013.higher-education-https-www	24	1	0.25	0.125	0	0.041666666666666664	0	0.041666666666666664	0.16666666666666666	0	0.25	0
se.healthstatus.2013.isps-http	18	0.8888888888888888	0.16666666666666666	0	0.05555555555555555	0.2777777777777778	0.1111111111111111	0	0.1111111111111111	0.16666666666666666	0.1111111111111111	0
se.healthstatus.2013.isps-http-www	19	0.8947368421052632	0.21052631578947367	0	0.05263157894736842	0.2631578947368421	0.10526315789473684	0	0.10526315789473684	0.2631578947368421	0.10526315789473684	0
se.healthstatus.2013.isps-https	6	0.8333333333333334	0.16666666666666666	0	0.16666666666666666	0.16666666666666666	0.16666666666666666	0	0.16666666666666666	0.5	0.16666666666666666	0
se.healthstatus.2013.isps-https-www	10	0.8	0.1	0	0	0.1	0.2	0	0.1	0.3	0.1	0
se.healthstatus.2013.media-http	25	0.88	0.6	0.28	0	0.48	0.08	0	0.16	0.28	0.28	0
se.healthstatus.2013.media-http-www	27	0.9259259259259259	0.6296296296296297	0.25925925925925924	0.037037037037037035	0.48148148148148145	0.07407407407407407	0	0.14814814814814814	0.2222222222222222	0.37037037037037035	0
se.healthstatus.2013.media-https	4	0.75	0.75	0.25	0	0.75	0	0	0	0.25	0	0
se.healthstatus.2013.media-https-www	5	1	0.6	0.2	0	0.4	0	0	0	0.2	0.2	0
se.healthstatus.2013.municipalities-http	239	0.9288702928870293	0.13389121338912133	0.029288702928870293	0.0041841004184100415	0.18828451882845187	0.008368200836820083	0.0041841004184100415	0.13389121338912133	0	0.13807531380753138	0
se.healthstatus.2013.municipalities-http-www	258	0.9341085271317829	0.09689922480620156	0.01937984496124031	0.003875968992248062	0.18992248062015504	0.011627906976744186	0.007751937984496124	0.13565891472868216	0	0.13953488372093023	0
se.healthstatus.2013.municipalities-https	41	0.926829268292683	0.14634146341463414	0.024390243902439025	0	0.14634146341463414	0	0	0.0975609756097561	0	0.12195121951219512	0
se.healthstatus.2013.municipalities-https-www	50	0.94	0.16	0.02	0	0.1	0	0	0.12	0	0.14	0
se.healthstatus.2013.public-authorities-http	162	0.9135802469135802	0.08024691358024691	0.08024691358024691	0	0.018518518518518517	0.024691358024691357	0.012345679012345678	0.05555555555555555	0.006172839506172839	0.08024691358024691	0
se.healthstatus.2013.public-authorities-http-www	188	0.925531914893617	0.06382978723404255	0.06382978723404255	0	0.02127659574468085	0.026595744680851064	0.010638297872340425	0.047872340425531915	0.005319148936170213	0.07446808510638298	0
se.healthstatus.2013.public-authorities-https	15	0.9333333333333333	0.06666666666666667	0	0	0	0	0	0.06666666666666667	0	0.13333333333333333	0
se.healthstatus.2013.public-authorities-https-www	36	0.9166666666666666	0.05555555555555555	0.05555555555555555	0	0.08333333333333333	0.05555555555555555	0	0.1111111111111111	0	0.16666666666666666	0
