Dataset	Domains	Dom w/ int	Int non-D	Some int D	Dom w/ ext	Ext non-D	Some ext D	All non-D	Some D
se.healthstatus.2013.domain-registrars-https	40	39	1	0	34	0.08823529411764706	0.9117647058823529	0.225	0.775
se.healthstatus.2013.domain-registrars-https-www	42	40	1	0	36	0.08333333333333333	0.9166666666666666	0.21428571428571427	0.7857142857142857
se.healthstatus.2013.financial-services-http	67	61	1	0	67	0.19402985074626866	0.8059701492537313	0.19402985074626866	0.8059701492537313
se.healthstatus.2013.financial-services-http-www	72	64	1	0	71	0.19718309859154928	0.8028169014084507	0.20833333333333334	0.7916666666666666
se.healthstatus.2013.financial-services-https	16	15	1	0	16	0	1	0	1
se.healthstatus.2013.financial-services-https-www	31	30	1	0	31	0	1	0	1
se.healthstatus.2013.gocs-http	49	44	1	0	48	0	1	0.02040816326530612	0.9795918367346939
se.healthstatus.2013.gocs-http-www	57	50	1	0	55	0.01818181818181818	0.9818181818181818	0.05263157894736842	0.9473684210526316
se.healthstatus.2013.gocs-https	4	4	1	0	4	0	1	0	1
se.healthstatus.2013.gocs-https-www	9	9	1	0	9	0	1	0	1
se.healthstatus.2013.higher-education-http	40	39	1	0	38	0	1	0.05	0.95
se.healthstatus.2013.higher-education-http-www	47	46	1	0	44	0	1	0.06382978723404255	0.9361702127659575
se.healthstatus.2013.higher-education-https	9	9	1	0	9	0	1	0	1
se.healthstatus.2013.higher-education-https-www	24	24	1	0	24	0	1	0	1
se.healthstatus.2013.isps-http	18	17	1	0	18	0	1	0	1
se.healthstatus.2013.isps-http-www	19	19	1	0	19	0	1	0	1
se.healthstatus.2013.isps-https	6	6	1	0	6	0	1	0	1
se.healthstatus.2013.isps-https-www	10	10	1	0	10	0	1	0	1
se.healthstatus.2013.media-http	26	24	1	0	25	0	1	0.038461538461538464	0.9615384615384616
se.healthstatus.2013.media-http-www	28	25	1	0	27	0	1	0.03571428571428571	0.9642857142857143
se.healthstatus.2013.media-https	4	4	1	0	4	0	1	0	1
se.healthstatus.2013.media-https-www	5	5	1	0	5	0	1	0	1
se.healthstatus.2013.municipalities-http	249	249	1	0	239	0.03765690376569038	0.9623430962343096	0.07630522088353414	0.9236947791164658
se.healthstatus.2013.municipalities-http-www	271	270	1	0	258	0.03875968992248062	0.9612403100775194	0.08487084870848709	0.915129151291513
se.healthstatus.2013.municipalities-https	44	44	1	0	41	0.04878048780487805	0.9512195121951219	0.11363636363636363	0.8863636363636364
se.healthstatus.2013.municipalities-https-www	54	54	1	0	50	0.04	0.96	0.1111111111111111	0.8888888888888888
se.healthstatus.2013.public-authorities-http	170	153	1	0	162	0.06172839506172839	0.9382716049382716	0.10588235294117647	0.8941176470588236
se.healthstatus.2013.public-authorities-http-www	203	182	1	0	188	0.05319148936170213	0.9468085106382979	0.12315270935960591	0.8768472906403941
se.healthstatus.2013.public-authorities-https	18	18	1	0	15	0.06666666666666667	0.9333333333333333	0.2222222222222222	0.7777777777777778
se.healthstatus.2013.public-authorities-https-www	37	37	1	0	36	0.027777777777777776	0.9722222222222222	0.05405405405405406	0.9459459459459459
