Dataset	Domains	Int insec	Mix int sec	Int sec	Ext insec	Mix ext sec	Ext sec	All insec	Mix sec	All sec
alexa.2014-09-01.top.dk.10000-https	339	0.3507692307692308	0.2	0.4492307692307692	0.11392405063291139	0.5284810126582278	0.3575949367088608	0.10179640718562874	0.5718562874251496	0.3263473053892216
alexa.2014-09-01.top.dk.10000-https-www	441	0.33726415094339623	0.15094339622641506	0.5117924528301887	0.11330049261083744	0.5147783251231528	0.37192118226600984	0.10321100917431193	0.5458715596330275	0.35091743119266056
alexa.2014-09-01.top.se.10000-http	2797	0.9311499813918869	0.028656494231484864	0.04019352437662821	0.3830104321907601	0.5700447093889716	0.04694485842026826	0.3985663082437276	0.5641577060931899	0.03727598566308244
alexa.2014-09-01.top.se.10000-http-www	2895	0.9332365747460087	0.021044992743105895	0.045718432510885344	0.3832313781935948	0.5703490464195753	0.046419575386829795	0.3986837547627295	0.5594042258399723	0.04191201939729823
alexa.2014-09-01.top.se.10000-https	438	0.3559718969555035	0.20374707259953156	0.44028103044496486	0.13981042654028436	0.48578199052132703	0.3744075829383886	0.12585812356979406	0.5491990846681921	0.32494279176201374
alexa.2014-09-01.top.se.10000-https-www	650	0.2783018867924528	0.1556603773584906	0.5660377358490566	0.13015873015873017	0.43174603174603177	0.4380952380952381	0.12037037037037036	0.4799382716049383	0.39969135802469136
com.2014-08-29.random.10000-http	7775	0.9967713004484305	0.0014349775784753271	0.0017937219730941704	0.7577949212471874	0.22999035679845714	0.012214721954355513	0.7925692349876611	0.20085001370989852	0.006580751302440362
com.2014-08-29.random.10000-http-www	7811	0.99639379733141	0.0012621709340064902	0.0023440317345834838	0.7545265181861881	0.23441756128825508	0.011055920525556802	0.7900341296928327	0.20409556313993182	0.0058703071672354945
com.2014-08-29.random.10000-https	50	0.3111111111111111	0.1333333333333333	0.5555555555555556	0.24390243902439024	0.41463414634146334	0.34146341463414637	0.14893617021276595	0.46808510638297873	0.3829787234042553
com.2014-08-29.random.10000-https-www	55	0.2037037037037037	0.14814814814814817	0.6481481481481481	0.16279069767441862	0.441860465116279	0.3953488372093023	0.05555555555555555	0.4444444444444444	0.5
