Dataset	Domains	Same domain	Subdomain	Superdomain	Same primary	Internal	Mixed	External
com.2014-08-29.random.10000-http-www	7811	0.13488054607508532	0	0.009146757679180887	0.1479863481228669	0.1479863481228669	0.6091467576791809	0.2428668941979522
com.2014-08-29.random.10000-https	50	0.10638297872340426	0.02127659574468085	0	0.1276595744680851	0.1276595744680851	0.8297872340425533	0.0425531914893617
com.2014-08-29.random.10000-https-www	55	0.18518518518518517	0	0.018518518518518517	0.2037037037037037	0.2037037037037037	0.7962962962962963	0
dk.2014-07-23.random.10000-http	7180	0.2847848587904776	0.024545320124205235	0	0.31598403075558185	0.31598403075558185	0.3712849327221647	0.3127310365222534
dk.2014-07-23.random.10000-http-www	7378	0.2784664168348227	0	0.029691553761891035	0.31204958201210725	0.31204958201210725	0.37445949841452875	0.31349091957336406
dk.2014-07-23.random.10000-https	23	0.2608695652173913	0.043478260869565216	0	0.30434782608695654	0.30434782608695654	0.6521739130434783	0.043478260869565216
dk.2014-07-23.random.10000-https-www	32	0.26666666666666666	0	0	0.26666666666666666	0.26666666666666666	0.7000000000000001	0.03333333333333333
net.2014-08-29.random.10000-http	7270	0.11368735976065819	0.022887060583395662	0	0.13881824981301422	0.13881824981301422	0.5898279730740464	0.2713537771129394
net.2014-08-29.random.10000-http-www	7378	0.12895125553914327	0	0.006794682422451994	0.13751846381093058	0.13751846381093058	0.5813884785819794	0.2810930576070901
net.2014-08-29.random.10000-https	26	0.23076923076923078	0.07692307692307693	0	0.38461538461538464	0.38461538461538464	0.6153846153846154	0
net.2014-08-29.random.10000-https-www	28	0.23076923076923078	0	0	0.23076923076923078	0.23076923076923078	0.7307692307692307	0.038461538461538464
reach50.2014w35.se-http	43	0	0	0	0	0	0.9534883720930233	0.046511627906976744
reach50.2014w35.se-http-www	42	0	0	0	0	0	0.9285714285714286	0.07142857142857142
reach50.2014w35.se-https	18	0	0.05555555555555555	0	0.05555555555555555	0.05555555555555555	0.8333333333333333	0.1111111111111111
reach50.2014w35.se-https-www	26	0	0	0	0	0	0.8846153846153846	0.11538461538461539
se.2014-07-10.random.100000-http	73605	0.18490351064587338	0.027116712953072705	0	0.2183721427045503	0.2183721427045503	0.39710887986897386	0.38451897742647584
se.2014-07-10.random.100000-http-www	77261	0.18655571694245726	0	0.027312093610436152	0.21882253926452822	0.21882253926452822	0.39626970013710344	0.38490776059836834
se.2014-07-10.random.100000-https	282	0.14022140221402213	0.01845018450184502	0	0.16605166051660517	0.16605166051660517	0.8044280442804428	0.02952029520295203
se.2014-07-10.random.100000-https-www	328	0.10869565217391304	0	0.006211180124223602	0.11490683229813664	0.11490683229813664	0.8509316770186336	0.034161490683229816
se.healthstatus.2013.counties-http	18	0	0	0	0	0	1	0
se.healthstatus.2013.counties-http-www	21	0	0	0	0	0	0.9523809523809523	0.047619047619047616
se.healthstatus.2013.counties-https	3	0	0	0	0	0	1	0
se.healthstatus.2013.counties-https-www	6	0.16666666666666666	0	0	0.16666666666666666	0.16666666666666666	0.8333333333333334	0
se.healthstatus.2013.domain-registrars-http	127	0.056	0.072	0	0.136	0.136	0.728	0.136
se.healthstatus.2013.domain-registrars-http-www	134	0.1044776119402985	0	0.014925373134328358	0.15671641791044777	0.15671641791044777	0.6940298507462687	0.14925373134328357
se.healthstatus.2013.domain-registrars-https	40	0.025	0.125	0	0.15	0.15	0.825	0.025
se.healthstatus.2013.domain-registrars-https-www	42	0.11904761904761904	0	0	0.14285714285714285	0.14285714285714285	0.8095238095238095	0.047619047619047616
se.healthstatus.2013.financial-services-http	67	0	0	0	0	0	0.9104477611940298	0.08955223880597014
se.healthstatus.2013.financial-services-http-www	72	0.013888888888888888	0	0	0.013888888888888888	0.013888888888888888	0.875	0.1111111111111111
se.healthstatus.2013.financial-services-https	16	0	0	0	0	0	0.9375	0.0625
se.healthstatus.2013.financial-services-https-www	31	0	0	0	0	0	0.967741935483871	0.03225806451612903
se.healthstatus.2013.gocs-http	49	0	0.02040816326530612	0	0.02040816326530612	0.02040816326530612	0.8775510204081632	0.10204081632653061
se.healthstatus.2013.gocs-http-www	57	0.03508771929824561	0	0	0.03508771929824561	0.03508771929824561	0.8421052631578947	0.12280701754385964
se.healthstatus.2013.gocs-https	4	0	0	0	0	0	1	0
se.healthstatus.2013.gocs-https-www	9	0	0	0	0	0	1	0
