Dataset	Domains	1xx	2xx	3xx	301	302	303	307	4xx	5xx	(null)
net.2014-08-29.random.10000-http	9975	0	0.5174937343358396	0.211328320802005	0.12521303258145364	0.08541353383458647	0.0006015037593984962	0.00010025062656641604	0	0	0.2711779448621554
net.2014-08-29.random.10000-http-www	9971	0	0.5520008023267475	0.1879450406177916	0.10390131381004915	0.08324140006017451	0.0006017450606759602	0.00020058168689198675	0	0	0.2600541570554608
net.2014-08-29.random.10000-https	10000	0	0.0019	0.0007	0.0004	0.0003	0	0	0	0	0.9974
net.2014-08-29.random.10000-https-www	10000	0	0.002	0.0008	0.0001	0.0007	0	0	0	0	0.9972
reach50.2014w35.se-http	47	0	0.1276595744680851	0.7872340425531915	0.7021276595744681	0.0851063829787234	0	0	0	0	0.0851063829787234
reach50.2014w35.se-http-www	46	0	0.6521739130434783	0.2608695652173913	0.1956521739130435	0.06521739130434782	0	0	0	0	0.08695652173913043
reach50.2014w35.se-https	48	0	0.10416666666666667	0.2708333333333333	0.16666666666666666	0.10416666666666667	0	0	0	0	0.625
reach50.2014w35.se-https-www	49	0	0.1836734693877551	0.3469387755102041	0.14285714285714285	0.20408163265306123	0	0	0	0	0.46938775510204084
se.2014-07-10.random.100000-http	99497	0	0.5268902579977286	0.2128807903755892	0.15151210589263997	0.06002191020834799	0.0011357126345517955	0.00021106164004944873	0	0	0.2602289516266822
se.2014-07-10.random.100000-http-www	99428	0	0.5883252202598865	0.18872953292835015	0.1295510319024822	0.057790562014724225	0.0011767309007523032	0.00021120811039143902	0	0	0.22294524681176328
se.2014-07-10.random.100000-https	100000	0	0.00157	0.00125	0.00057	0.00067	0	1e-05	0	0	0.99718
se.2014-07-10.random.100000-https-www	99999	0	0.002130021300213002	0.001150011500115001	0.00045000450004500047	0.0006800068000680007	1.000010000100001e-05	1.000010000100001e-05	0	0	0.996719967199672
se.healthstatus.2013.counties-http	21	0	0.6666666666666666	0.19047619047619047	0.09523809523809523	0.09523809523809523	0	0	0	0	0.14285714285714285
se.healthstatus.2013.counties-http-www	21	0	0.8571428571428571	0.14285714285714285	0.09523809523809523	0.047619047619047616	0	0	0	0	0
se.healthstatus.2013.counties-https	21	0	0.047619047619047616	0.09523809523809523	0	0.09523809523809523	0	0	0	0	0.8571428571428571
se.healthstatus.2013.counties-https-www	21	0	0.14285714285714285	0.14285714285714285	0	0.14285714285714285	0	0	0	0	0.7142857142857143
se.healthstatus.2013.domain-registrars-http	145	0	0.25517241379310346	0.6206896551724138	0.46206896551724136	0.15862068965517243	0	0	0	0	0.12413793103448276
se.healthstatus.2013.domain-registrars-http-www	146	0	0.541095890410959	0.3767123287671233	0.2534246575342466	0.1232876712328767	0	0	0	0	0.0821917808219178
se.healthstatus.2013.domain-registrars-https	146	0	0.0821917808219178	0.1917808219178082	0.14383561643835616	0.04794520547945205	0	0	0	0	0.726027397260274
se.healthstatus.2013.domain-registrars-https-www	146	0	0.1917808219178082	0.0958904109589041	0.0547945205479452	0.0410958904109589	0	0	0	0	0.7123287671232876
se.healthstatus.2013.financial-services-http	79	0	0.17721518987341772	0.6708860759493671	0.5316455696202531	0.13924050632911392	0	0	0	0	0.1518987341772152
se.healthstatus.2013.financial-services-http-www	79	0	0.45569620253164556	0.45569620253164556	0.27848101265822783	0.1518987341772152	0.02531645569620253	0	0	0	0.08860759493670886
se.healthstatus.2013.financial-services-https	78	0	0.08974358974358974	0.11538461538461539	0.0641025641025641	0.05128205128205128	0	0	0	0	0.7948717948717948
se.healthstatus.2013.financial-services-https-www	79	0	0.26582278481012656	0.12658227848101267	0.05063291139240506	0.0759493670886076	0	0	0	0	0.6075949367088608
se.healthstatus.2013.gocs-http	59	0	0.23728813559322035	0.5932203389830508	0.4067796610169492	0.1864406779661017	0	0	0	0	0.1694915254237288
se.healthstatus.2013.gocs-http-www	60	0	0.7166666666666667	0.23333333333333334	0.13333333333333333	0.1	0	0	0	0	0.05
se.healthstatus.2013.gocs-https	60	0	0.016666666666666666	0.05	0.03333333333333333	0.016666666666666666	0	0	0	0	0.9333333333333333
se.healthstatus.2013.gocs-https-www	60	0	0.11666666666666667	0.03333333333333333	0.016666666666666666	0.016666666666666666	0	0	0	0	0.85
se.healthstatus.2013.higher-education-http	48	0	0.2916666666666667	0.5416666666666666	0.4375	0.10416666666666667	0	0	0	0	0.16666666666666666
se.healthstatus.2013.higher-education-http-www	48	0	0.7708333333333334	0.20833333333333334	0.14583333333333334	0.0625	0	0	0	0	0.020833333333333332
se.healthstatus.2013.higher-education-https	49	0	0.04081632653061224	0.14285714285714285	0.10204081632653061	0.04081632653061224	0	0	0	0	0.8163265306122449
se.healthstatus.2013.higher-education-https-www	49	0	0.32653061224489793	0.16326530612244897	0.04081632653061224	0.12244897959183673	0	0	0	0	0.5102040816326531
se.healthstatus.2013.isps-http	20	0	0.2	0.7	0.5	0.2	0	0	0	0	0.1
se.healthstatus.2013.isps-http-www	20	0	0.6	0.35	0.15	0.2	0	0	0	0	0.05
se.healthstatus.2013.isps-https	20	0	0.1	0.2	0.15	0.05	0	0	0	0	0.7
se.healthstatus.2013.isps-https-www	20	0	0.4	0.1	0	0.1	0	0	0	0	0.5
se.healthstatus.2013.media-http	30	0	0.13333333333333333	0.7333333333333333	0.5333333333333333	0.2	0	0	0	0	0.13333333333333333
se.healthstatus.2013.media-http-www	32	0	0.5625	0.3125	0.125	0.15625	0	0.03125	0	0	0.125
se.healthstatus.2013.media-https	32	0	0.0625	0.0625	0	0.0625	0	0	0	0	0.875
se.healthstatus.2013.media-https-www	32	0	0.0625	0.09375	0.03125	0.0625	0	0	0	0	0.84375
se.healthstatus.2013.municipalities-http	286	0	0.6153846153846154	0.25524475524475526	0.17832167832167833	0.07692307692307693	0	0	0	0	0.12937062937062938
se.healthstatus.2013.municipalities-http-www	288	0	0.8506944444444444	0.09027777777777778	0.034722222222222224	0.05555555555555555	0	0	0	0	0.059027777777777776
se.healthstatus.2013.municipalities-https	290	0	0.07241379310344828	0.07931034482758621	0.02413793103448276	0.05517241379310345	0	0	0	0	0.8482758620689655
se.healthstatus.2013.municipalities-https-www	290	0	0.11724137931034483	0.06896551724137931	0.0034482758620689655	0.06551724137931035	0	0	0	0	0.8137931034482758
se.healthstatus.2013.public-authorities-http	213	0	0.40375586854460094	0.39436619718309857	0.25821596244131456	0.13615023474178403	0	0	0	0	0.20187793427230047
se.healthstatus.2013.public-authorities-http-www	214	0	0.6962616822429907	0.2523364485981308	0.1261682242990654	0.12149532710280374	0.004672897196261682	0	0	0	0.0514018691588785
se.healthstatus.2013.public-authorities-https	214	0	0.04205607476635514	0.04205607476635514	0.004672897196261682	0.037383177570093455	0	0	0	0	0.9158878504672897
se.healthstatus.2013.public-authorities-https-www	214	0	0.11682242990654206	0.056074766355140186	0.009345794392523364	0.04672897196261682	0	0	0	0	0.8271028037383178
