Dataset	Domains	facebook.com	twitter.com	cloudfront.net	addthis.com	newrelic.com	optimizely.com	scorecardresearch.com
alexa.2014-09-01.top.dk.10000-https-www	441	0.2044334975369458	0.06896551724137931	0.16502463054187191	0.06403940886699508	0.07389162561576355	0.04926108374384237	0.08374384236453201
alexa.2014-09-01.top.se.10000-http	2797	0.30998509687034276	0.12332339791356185	0.10804769001490314	0.0815946348733234	0.06929955290611028	0.02347242921013413	0.10730253353204174
alexa.2014-09-01.top.se.10000-http-www	2895	0.3094638359121986	0.12090680100755667	0.10903202590860021	0.0798848506657071	0.06657070888808925	0.022670025188916875	0.10687297589060814
alexa.2014-09-01.top.se.10000-https	438	0.26303317535545023	0.13507109004739337	0.17061611374407584	0.07345971563981042	0.08530805687203792	0.037914691943127965	0.08767772511848342
alexa.2014-09-01.top.se.10000-https-www	650	0.18412698412698414	0.09047619047619047	0.1761904761904762	0.06349206349206349	0.08888888888888889	0.03968253968253968	0.09047619047619047
com.2014-08-29.random.10000-http	7775	0.07585985213757634	0.04934104789456766	0.03471552555448409	0.02812600450016072	0.02459016393442623	0.008036001285760206	0.040983606557377046
com.2014-08-29.random.10000-http-www	7811	0.07274475244351866	0.047908988944079474	0.03300753084441596	0.02804037814452812	0.023393686909149176	0.00801153661272232	0.04021791379586605
com.2014-08-29.random.10000-https	50	0.21951219512195122	0.07317073170731707	0.024390243902439025	0.04878048780487805	0.04878048780487805	0.024390243902439025	0.07317073170731707
com.2014-08-29.random.10000-https-www	55	0.2558139534883721	0.13953488372093023	0.09302325581395349	0.06976744186046512	0.06976744186046512	0.023255813953488372	0.11627906976744186
dk.2014-07-23.random.10000-http	7180	0.12127107652399481	0.0304798962386511	0.05512321660181582	0.035667963683527884	0.015348032857760483	0.0019455252918287938	0.04388240380458279
dk.2014-07-23.random.10000-http-www	7378	0.11837418814163	0.029750680913471612	0.054682589566310495	0.03624554787345485	0.015503875968992248	0.0016760946993505132	0.04357846218311335
dk.2014-07-23.random.10000-https	23	0.125	0	0	0.0625	0.0625	0	0.0625
dk.2014-07-23.random.10000-https-www	32	0.13636363636363635	0.045454545454545456	0.13636363636363635	0.045454545454545456	0.13636363636363635	0.045454545454545456	0.045454545454545456
net.2014-08-29.random.10000-http	7270	0.06739621330554108	0.04325169359041167	0.020844189682126108	0.022754907069654332	0.015806843842278966	0.005037345839847143	0.030918881361820392
net.2014-08-29.random.10000-http-www	7378	0.06799109436547354	0.04452817263230005	0.021236513101558486	0.024833019352628875	0.015584860421305018	0.004795341668093852	0.03168350744990581
net.2014-08-29.random.10000-https	26	0.3125	0.125	0	0	0	0	0.0625
net.2014-08-29.random.10000-https-www	28	0.35	0.2	0.05	0	0	0	0.05
reach50.2014w35.se-http	43	0.20930232558139536	0.09302325581395349	0.11627906976744186	0.023255813953488372	0.06976744186046512	0.11627906976744186	0.18604651162790697
reach50.2014w35.se-http-www	42	0.21428571428571427	0.09523809523809523	0.09523809523809523	0.023809523809523808	0.023809523809523808	0.11904761904761904	0.21428571428571427
reach50.2014w35.se-https	18	0.058823529411764705	0.058823529411764705	0.17647058823529413	0.058823529411764705	0.058823529411764705	0.11764705882352941	0.35294117647058826
reach50.2014w35.se-https-www	26	0	0.038461538461538464	0.07692307692307693	0	0	0.15384615384615385	0.15384615384615385
se.2014-07-10.random.100000-http	73605	0.11672315148864837	0.03855544623009365	0.04768412229875005	0.02516307714733428	0.01419408913669327	0.004281913924419664	0.03722531977697606
se.2014-07-10.random.100000-http-www	77261	0.11406328739986446	0.03723912627938902	0.046188333014753155	0.025109910160390637	0.013971188767442265	0.004396406415625489	0.0366309277633934
se.2014-07-10.random.100000-https	282	0.18584070796460178	0.048672566371681415	0.12389380530973451	0.03982300884955752	0.035398230088495575	0.008849557522123894	0.04424778761061947
se.2014-07-10.random.100000-https-www	328	0.16140350877192983	0.031578947368421054	0.14385964912280702	0.03859649122807018	0.05964912280701754	0.017543859649122806	0.04912280701754386
se.healthstatus.2013.counties-http	18	0.05555555555555555	0.05555555555555555	0	0.05555555555555555	0	0	0.1111111111111111
se.healthstatus.2013.counties-http-www	21	0.09523809523809523	0.047619047619047616	0	0.047619047619047616	0	0	0.09523809523809523
se.healthstatus.2013.counties-https	3	0	0	0	0	0	0	0
se.healthstatus.2013.counties-https-www	6	0	0	0	0	0	0	0
se.healthstatus.2013.domain-registrars-http	127	0.1574074074074074	0.09259259259259259	0.05555555555555555	0.018518518518518517	0.009259259259259259	0.009259259259259259	0.018518518518518517
se.healthstatus.2013.domain-registrars-http-www	134	0.1592920353982301	0.08849557522123894	0.05309734513274336	0.008849557522123894	0.008849557522123894	0.008849557522123894	0.008849557522123894
se.healthstatus.2013.domain-registrars-https	40	0.2647058823529412	0.14705882352941177	0.08823529411764706	0	0.029411764705882353	0	0
se.healthstatus.2013.domain-registrars-https-www	42	0.19444444444444445	0.1111111111111111	0.08333333333333333	0	0.027777777777777776	0	0
se.healthstatus.2013.financial-services-http	67	0.07462686567164178	0.029850746268656716	0.04477611940298507	0.029850746268656716	0.04477611940298507	0.07462686567164178	0.04477611940298507
se.healthstatus.2013.financial-services-http-www	72	0.07042253521126761	0.028169014084507043	0.04225352112676056	0.028169014084507043	0.04225352112676056	0.07042253521126761	0.04225352112676056
se.healthstatus.2013.financial-services-https	16	0	0.0625	0.0625	0.0625	0.0625	0.125	0.125
se.healthstatus.2013.financial-services-https-www	31	0.03225806451612903	0.03225806451612903	0.0967741935483871	0.06451612903225806	0.03225806451612903	0.1935483870967742	0.0967741935483871
se.healthstatus.2013.gocs-http	49	0.0625	0.041666666666666664	0.125	0.10416666666666667	0.041666666666666664	0.020833333333333332	0.10416666666666667
se.healthstatus.2013.gocs-http-www	57	0.07272727272727272	0.07272727272727272	0.12727272727272726	0.09090909090909091	0.03636363636363636	0.01818181818181818	0.10909090909090909
se.healthstatus.2013.gocs-https	4	0.25	0.5	0.25	0	0	0	0
se.healthstatus.2013.gocs-https-www	9	0.1111111111111111	0.2222222222222222	0.2222222222222222	0.1111111111111111	0.1111111111111111	0	0.1111111111111111
se.healthstatus.2013.higher-education-http	40	0.15789473684210525	0.13157894736842105	0.02631578947368421	0.13157894736842105	0	0	0.13157894736842105
se.healthstatus.2013.higher-education-http-www	47	0.1590909090909091	0.11363636363636363	0.022727272727272728	0.11363636363636363	0	0	0.1590909090909091
se.healthstatus.2013.higher-education-https	9	0.1111111111111111	0.2222222222222222	0	0.2222222222222222	0	0	0.2222222222222222
se.healthstatus.2013.higher-education-https-www	24	0.08333333333333333	0.125	0.041666666666666664	0.16666666666666666	0	0	0.25
se.healthstatus.2013.isps-http	18	0.16666666666666666	0	0.2777777777777778	0.1111111111111111	0.05555555555555555	0.05555555555555555	0.1111111111111111
se.healthstatus.2013.isps-http-www	19	0.21052631578947367	0	0.2631578947368421	0.10526315789473684	0.05263157894736842	0.05263157894736842	0.10526315789473684
se.healthstatus.2013.isps-https	6	0.16666666666666666	0	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.16666666666666666
se.healthstatus.2013.isps-https-www	10	0.1	0	0.1	0.1	0.1	0.1	0.1
se.healthstatus.2013.media-http	26	0.6	0.28	0.48	0.16	0.2	0.12	0.16
se.healthstatus.2013.media-http-www	28	0.6296296296296297	0.25925925925925924	0.48148148148148145	0.14814814814814814	0.18518518518518517	0.1111111111111111	0.3333333333333333
se.healthstatus.2013.media-https	4	0.75	0.25	0.75	0	0	0.5	0
se.healthstatus.2013.media-https-www	5	0.4	0.2	0.4	0	0	0.2	0
se.healthstatus.2013.municipalities-http	249	0.12552301255230125	0.029288702928870293	0.18828451882845187	0.13389121338912133	0.029288702928870293	0.0041841004184100415	0.13807531380753138
se.healthstatus.2013.municipalities-http-www	271	0.08914728682170543	0.01937984496124031	0.18992248062015504	0.13565891472868216	0.03875968992248062	0.003875968992248062	0.13953488372093023
se.healthstatus.2013.municipalities-https	44	0.12195121951219512	0.024390243902439025	0.14634146341463414	0.0975609756097561	0	0	0.12195121951219512
se.healthstatus.2013.municipalities-https-www	54	0.12	0.02	0.1	0.12	0	0	0.14
se.healthstatus.2013.public-authorities-http	170	0.08024691358024691	0.06172839506172839	0.018518518518518517	0.05555555555555555	0.030864197530864196	0	0.08024691358024691
se.healthstatus.2013.public-authorities-http-www	203	0.06382978723404255	0.0425531914893617	0.02127659574468085	0.047872340425531915	0.031914893617021274	0	0.07446808510638298
se.healthstatus.2013.public-authorities-https	18	0.06666666666666667	0	0	0.06666666666666667	0	0	0.13333333333333333
se.healthstatus.2013.public-authorities-https-www	37	0.05555555555555555	0.027777777777777776	0.08333333333333333	0.1111111111111111	0.027777777777777776	0	0.16666666666666666
