Dataset	Domains	With R	DWR/D	R/DWR	I	E	Mix I+E	Insec	Sec	Mix sec	Final sec	Mism
alexa.2014-09-01.top.dk.10000-https	339	225	0.6637168141592921	1.3422222222222222	0.9422222222222222	0.02666666666666667	0.008888888888888889	0.5288888888888889	0.3377777777777778	0.1111111111111111	0.38666666666666666	0.022222222222222223
alexa.2014-09-01.top.dk.10000-https-www	441	232	0.5260770975056689	1.2758620689655173	0.8922413793103449	0.03879310344827586	0.01293103448275862	0.6508620689655172	0.25	0.04310344827586207	0.27586206896551724	0.05603448275862069
alexa.2014-09-01.top.se.10000-http	2797	1738	0.6213800500536288	1.161680092059839	0.9476409666283084	0.03164556962025317	0.004027617951668585	0.9062140391254315	0.06501726121979287	0.012082853855005753	0.07652474108170311	0.01668584579976985
alexa.2014-09-01.top.se.10000-http-www	2895	863	0.2981001727115717	1.146002317497103	0.8980301274623407	0.07879490150637311	0.002317497103128621	0.8192352259559675	0.14947856315179606	0.010428736964078795	0.15990730011587487	0.02085747392815759
alexa.2014-09-01.top.se.10000-https	438	282	0.6438356164383562	1.2730496453900708	0.9680851063829787	0.014184397163120567	0	0.5638297872340425	0.3475177304964539	0.07092198581560284	0.37943262411347517	0.01773049645390071
alexa.2014-09-01.top.se.10000-https-www	650	268	0.4123076923076923	1.2164179104477613	0.9365671641791045	0.022388059701492536	0	0.6529850746268657	0.26865671641791045	0.03731343283582089	0.27611940298507465	0.041044776119402986
com.2014-08-29.random.10000-http	7775	2419	0.31112540192926047	1.204630012401819	0.5708970649028524	0.38735014468788753	0.014882182720132286	0.9313766019016122	0.014055394791236048	0.02687060768912774	0.03885903265812319	0.027697395618023975
com.2014-08-29.random.10000-http-www	7811	1968	0.2519523748559723	1.2266260162601625	0.46697154471544716	0.49339430894308944	0.007113821138211382	0.9176829268292683	0.01676829268292683	0.033028455284552845	0.046239837398373985	0.03353658536585366
com.2014-08-29.random.10000-https	50	24	0.48	1.3333333333333333	0.9166666666666666	0	0	0.5833333333333334	0.25	0.08333333333333333	0.25	0.08333333333333333
com.2014-08-29.random.10000-https-www	55	23	0.41818181818181815	1.2173913043478262	0.9130434782608695	0.043478260869565216	0	0.5217391304347826	0.34782608695652173	0.08695652173913043	0.34782608695652173	0.043478260869565216
dk.2014-07-23.random.10000-http	7180	2228	0.3103064066852368	1.263016157989228	0.4403052064631957	0.48967684021543983	0.012567324955116697	0.9052962298025135	0.02154398563734291	0.01570915619389587	0.03590664272890485	0.05834829443447038
dk.2014-07-23.random.10000-http-www	7378	2025	0.2744646245595012	1.2982716049382717	0.36493827160493825	0.5575308641975308	0.01037037037037037	0.8933333333333333	0.02271604938271605	0.017777777777777778	0.03901234567901234	0.06765432098765432
dk.2014-07-23.random.10000-https	23	10	0.43478260869565216	1.1	0.9	0.1	0	0.4	0.5	0.1	0.6	0
dk.2014-07-23.random.10000-https-www	32	15	0.46875	1.2666666666666666	0.7333333333333333	0.06666666666666667	0	0.3333333333333333	0.4	0.06666666666666667	0.4666666666666667	0.2
