Dataset	Domains	D Requests	D Domains	D Orgs	D Cats	DR/d	(DR/d)/DO	DD/T	DO/T
se.healthstatus.2013.domain-registrars-https-www	42	327	40	25	4	7.785714285714286	0.31142857142857144	0.01858736059479554	0.025510204081632654
se.healthstatus.2013.financial-services-http	67	378	49	36	5	5.641791044776119	0.15671641791044777	0.022769516728624536	0.036734693877551024
se.healthstatus.2013.financial-services-http-www	72	415	50	35	5	5.763888888888889	0.16468253968253968	0.023234200743494422	0.03571428571428571
se.healthstatus.2013.financial-services-https	16	95	24	15	5	5.9375	0.3958333333333333	0.011152416356877323	0.015306122448979591
se.healthstatus.2013.financial-services-https-www	31	228	32	19	5	7.354838709677419	0.3870967741935484	0.01486988847583643	0.019387755102040816
se.healthstatus.2013.gocs-http	49	501	45	28	5	10.224489795918368	0.3651603498542274	0.020910780669144983	0.02857142857142857
se.healthstatus.2013.gocs-http-www	57	577	47	30	5	10.12280701754386	0.3374269005847953	0.02184014869888476	0.030612244897959183
se.healthstatus.2013.gocs-https	4	64	21	11	4	16	1.4545454545454546	0.009758364312267658	0.011224489795918367
se.healthstatus.2013.gocs-https-www	9	91	27	16	5	10.11111111111111	0.6319444444444444	0.01254646840148699	0.0163265306122449
se.healthstatus.2013.higher-education-http	40	270	24	12	4	6.75	0.5625	0.011152416356877323	0.012244897959183673
se.healthstatus.2013.higher-education-http-www	47	308	26	12	4	6.553191489361702	0.5460992907801419	0.012081784386617101	0.012244897959183673
se.healthstatus.2013.higher-education-https	9	104	16	7	4	11.555555555555555	1.6507936507936507	0.007434944237918215	0.007142857142857143
se.healthstatus.2013.higher-education-https-www	24	182	22	11	4	7.583333333333333	0.6893939393939393	0.010223048327137546	0.011224489795918367
se.healthstatus.2013.isps-http	18	271	47	37	5	15.055555555555555	0.4069069069069069	0.02184014869888476	0.03775510204081633
se.healthstatus.2013.isps-http-www	19	317	55	45	5	16.68421052631579	0.3707602339181287	0.025557620817843865	0.04591836734693878
se.healthstatus.2013.isps-https	6	152	41	35	5	25.333333333333332	0.7238095238095238	0.019052044609665426	0.03571428571428571
se.healthstatus.2013.isps-https-www	10	163	43	34	5	16.3	0.47941176470588237	0.019981412639405203	0.03469387755102041
se.healthstatus.2013.media-http	26	1101	81	57	5	42.34615384615385	0.742914979757085	0.03763940520446097	0.058163265306122446
se.healthstatus.2013.media-http-www	28	1234	79	57	5	44.07142857142857	0.7731829573934836	0.03671003717472119	0.058163265306122446
se.healthstatus.2013.media-https	4	186	24	15	4	46.5	3.1	0.011152416356877323	0.015306122448979591
se.healthstatus.2013.media-https-www	5	204	28	17	4	40.8	2.4	0.013011152416356878	0.017346938775510204
se.healthstatus.2013.municipalities-http	249	2367	39	19	5	9.506024096385541	0.5003170577045022	0.01812267657992565	0.019387755102040816
se.healthstatus.2013.municipalities-http-www	271	2447	39	19	5	9.029520295202952	0.47523791027383955	0.01812267657992565	0.019387755102040816
se.healthstatus.2013.municipalities-https	44	305	18	9	4	6.931818181818182	0.7702020202020202	0.008364312267657992	0.009183673469387756
se.healthstatus.2013.municipalities-https-www	54	394	18	9	4	7.296296296296297	0.8106995884773663	0.008364312267657992	0.009183673469387756
se.healthstatus.2013.public-authorities-http	170	935	48	31	5	5.5	0.1774193548387097	0.022304832713754646	0.03163265306122449
se.healthstatus.2013.public-authorities-http-www	203	945	48	31	5	4.655172413793103	0.15016685205784203	0.022304832713754646	0.03163265306122449
se.healthstatus.2013.public-authorities-https	18	64	9	6	5	3.5555555555555554	0.5925925925925926	0.004182156133828996	0.006122448979591836
se.healthstatus.2013.public-authorities-https-www	37	200	23	14	5	5.405405405405405	0.3861003861003861	0.010687732342007435	0.014285714285714285
