Dataset	Domains	www.google.com	doubleclick.net	google-analytics.com	googleapis.com	maps.google.com	youtube.com	google.se
se.healthstatus.2013.higher-education-http	40	0.15789473684210525	0.13157894736842105	0.9210526315789473	0.2894736842105263	0.02631578947368421	0.07894736842105263	0.05263157894736842
se.healthstatus.2013.higher-education-http-www	47	0.13636363636363635	0.09090909090909091	0.9318181818181818	0.3181818181818182	0.045454545454545456	0.06818181818181818	0.045454545454545456
se.healthstatus.2013.higher-education-https	9	0.2222222222222222	0.1111111111111111	1	0.2222222222222222	0	0.1111111111111111	0
se.healthstatus.2013.higher-education-https-www	24	0.16666666666666666	0.20833333333333334	0.9583333333333334	0.2916666666666667	0	0.125	0.08333333333333333
se.healthstatus.2013.isps-http	18	0.2222222222222222	0.3333333333333333	0.7222222222222222	0.4444444444444444	0.05555555555555555	0	0.2222222222222222
se.healthstatus.2013.isps-http-www	19	0.2631578947368421	0.3684210526315789	0.7894736842105263	0.47368421052631576	0.05263157894736842	0	0.2631578947368421
se.healthstatus.2013.isps-https	6	0.5	0.6666666666666666	0.8333333333333334	0.5	0	0	0.5
se.healthstatus.2013.isps-https-www	10	0.4	0.4	0.7	0.5	0.1	0	0.4
se.healthstatus.2013.media-http	26	0.16	0.44	0.72	0.56	0	0.04	0.08
se.healthstatus.2013.media-http-www	28	0.1111111111111111	0.4074074074074074	0.7407407407407407	0.6296296296296297	0	0	0.07407407407407407
se.healthstatus.2013.media-https	4	0	0.25	0.75	0.75	0	0	0
se.healthstatus.2013.media-https-www	5	0	0.4	1	0.8	0	0	0
se.healthstatus.2013.municipalities-http	249	0.3682008368200837	0.012552301255230125	0.8284518828451883	0.5523012552301255	0.04184100418410042	0.02510460251046025	0.012552301255230125
se.healthstatus.2013.municipalities-http-www	271	0.39147286821705424	0.015503875968992248	0.813953488372093	0.5542635658914729	0.03488372093023256	0.01937984496124031	0.011627906976744186
se.healthstatus.2013.municipalities-https	44	0.2682926829268293	0.024390243902439025	0.8780487804878049	0.4146341463414634	0.04878048780487805	0.024390243902439025	0
se.healthstatus.2013.municipalities-https-www	54	0.26	0.02	0.88	0.48	0.04	0	0
se.healthstatus.2013.public-authorities-http	170	0.10493827160493827	0.030864197530864196	0.8395061728395061	0.4012345679012346	0.024691358024691357	0.037037037037037035	0
se.healthstatus.2013.public-authorities-http-www	203	0.09574468085106383	0.02127659574468085	0.8457446808510638	0.42021276595744683	0.02127659574468085	0.026595744680851064	0
se.healthstatus.2013.public-authorities-https	18	0.06666666666666667	0	0.8666666666666667	0.26666666666666666	0	0	0
se.healthstatus.2013.public-authorities-https-www	37	0.027777777777777776	0.027777777777777776	0.8055555555555556	0.2777777777777778	0	0	0
