Dataset	Domains	Google	Facebook	Twitter	Microsoft	Amazon	Adobe	Yahoo!	AddThis	AppNexus	comScore	Quantcast
alexa.2014-09-01.top.se.10000-http-www	2895	0.894300518134715	0.32124352331606215	0.1236614853195164	0.015544041450777202	0.10500863557858377	0.04214162348877375	0.015889464594127805	0.0766839378238342	0.10984455958549223	0.10362694300518134	0.0075993091537132984
alexa.2014-09-01.top.se.10000-https	438	0.9223744292237442	0.3904109589041096	0.13470319634703196	0.02968036529680365	0.1643835616438356	0.06164383561643835	0.0091324200913242	0.07077625570776255	0.12557077625570776	0.08447488584474885	0
alexa.2014-09-01.top.se.10000-https-www	650	0.9184615384615384	0.34307692307692306	0.09384615384615384	0.036923076923076927	0.17076923076923076	0.055384615384615386	0.012307692307692308	0.06153846153846154	0.11692307692307692	0.09076923076923077	0.004615384615384616
com.2014-08-29.random.10000-http	7775	0.6190353697749196	0.06636655948553055	0.04244372990353698	0.0029581993569131834	0.031511254019292605	0.011189710610932475	0.014405144694533762	0.022508038585209004	0.012990353697749197	0.03305466237942122	0.014019292604501608
com.2014-08-29.random.10000-http-www	7811	0.6163103315836641	0.06426833952118807	0.0410958904109589	0.002816540775828959	0.030085776469082063	0.011522212264754833	0.01523492510562028	0.022404301625912174	0.012290359749071823	0.03239021892203303	0.0136986301369863
com.2014-08-29.random.10000-https	50	0.7	0.24	0.08	0	0.02	0	0.02	0.04	0.04	0.06	0.02
com.2014-08-29.random.10000-https-www	55	0.6727272727272727	0.23636363636363636	0.12727272727272726	0	0.07272727272727272	0.01818181818181818	0.01818181818181818	0.05454545454545454	0.07272727272727272	0.09090909090909091	0.01818181818181818
dk.2014-07-23.random.10000-http	7180	0.4742339832869081	0.08412256267409471	0.020612813370473538	0.0020891364902506965	0.03565459610027855	0.01128133704735376	0.007381615598885794	0.02298050139275766	0.010445682451253482	0.030083565459610027	0.00403899721448468
dk.2014-07-23.random.10000-http-www	7378	0.4699105448631065	0.08200054215234481	0.020195174844131202	0.0018975332068311196	0.03537544049878016	0.010843046896177827	0.00718351856871781	0.023448088912984548	0.010165356465166711	0.03022499322309569	0.004201680672268907
dk.2014-07-23.random.10000-https	23	0.6521739130434783	0.08695652173913043	0	0	0	0.043478260869565216	0	0.043478260869565216	0.043478260869565216	0.043478260869565216	0
dk.2014-07-23.random.10000-https-www	32	0.625	0.09375	0.03125	0	0.09375	0.03125	0	0.03125	0.03125	0.03125	0
net.2014-08-29.random.10000-http	7270	0.6121045392022009	0.0577716643741403	0.03603851444291609	0.002200825309491059	0.02063273727647868	0.012517193947730399	0.012929848693259973	0.018019257221458047	0.014167812929848693	0.024621733149931223	0.008665749656121045
net.2014-08-29.random.10000-http-www	7378	0.6082949308755761	0.05828137706695581	0.03686635944700461	0.0020330712930333424	0.020737327188940093	0.014773651396042288	0.012062889671997831	0.01965302249932231	0.014502575223637843	0.025210084033613446	0.008945513689346707
net.2014-08-29.random.10000-https	26	0.5769230769230769	0.19230769230769232	0.07692307692307693	0	0	0.038461538461538464	0	0	0	0.038461538461538464	0
net.2014-08-29.random.10000-https-www	28	0.6071428571428571	0.25	0.14285714285714285	0	0.03571428571428571	0.03571428571428571	0	0	0.03571428571428571	0.03571428571428571	0
reach50.2014w35.se-http	43	0.7906976744186046	0.20930232558139536	0.11627906976744186	0.023255813953488372	0.11627906976744186	0.11627906976744186	0.023255813953488372	0.023255813953488372	0.18604651162790697	0.20930232558139536	0.046511627906976744
