Dataset	Domains	se	dk	com	net	org	nu	uk	de	ru	jp	cn	br	fr
se.2014-07-10.random.100000-https-www	328	0.21951219512195122	0.009146341463414634	0.8475609756097561	0.43902439024390244	0.018292682926829267	0.018292682926829267	0.003048780487804878	0.03353658536585366	0	0	0	0.003048780487804878	0
se.healthstatus.2013.counties-http	18	0.3333333333333333	0	1	0.1111111111111111	0	0	0	0	0	0	0	0	0
se.healthstatus.2013.counties-http-www	21	0.42857142857142855	0	1	0.09523809523809523	0	0	0	0	0	0	0	0	0
se.healthstatus.2013.counties-https	3	0.3333333333333333	0	1	0	0	0	0	0	0	0	0	0	0
se.healthstatus.2013.counties-https-www	6	0.3333333333333333	0	0.8333333333333334	0.16666666666666666	0	0	0	0	0	0	0	0	0
se.healthstatus.2013.domain-registrars-http	127	0.2677165354330709	0.023622047244094488	0.7874015748031497	0.3543307086614173	0.007874015748031496	0	0	0.015748031496062992	0	0	0	0	0.007874015748031496
se.healthstatus.2013.domain-registrars-http-www	134	0.26865671641791045	0.022388059701492536	0.7835820895522388	0.35074626865671643	0.007462686567164179	0	0	0.007462686567164179	0	0	0	0	0.014925373134328358
se.healthstatus.2013.domain-registrars-https	40	0.325	0.025	0.775	0.5	0	0	0	0.025	0	0	0	0	0
se.healthstatus.2013.domain-registrars-https-www	42	0.23809523809523808	0.023809523809523808	0.7857142857142857	0.5476190476190477	0	0	0	0	0	0	0	0	0.023809523809523808
se.healthstatus.2013.financial-services-http	67	0.47761194029850745	0.014925373134328358	0.7611940298507462	0.43283582089552236	0	0	0	0.014925373134328358	0	0	0	0	0
se.healthstatus.2013.financial-services-http-www	72	0.4583333333333333	0.013888888888888888	0.75	0.4027777777777778	0	0	0	0.013888888888888888	0	0	0	0	0
se.healthstatus.2013.financial-services-https	16	0.25	0	0.875	0.8125	0	0	0	0	0	0	0	0	0
se.healthstatus.2013.financial-services-https-www	31	0.3225806451612903	0	0.9354838709677419	0.6451612903225806	0	0	0	0	0	0	0	0	0
se.healthstatus.2013.gocs-http	49	0.20408163265306123	0	0.9795918367346939	0.40816326530612246	0	0	0	0.061224489795918366	0	0	0	0	0
se.healthstatus.2013.gocs-http-www	57	0.22807017543859648	0	0.9473684210526315	0.38596491228070173	0	0	0	0.07017543859649122	0	0	0	0	0
se.healthstatus.2013.gocs-https	4	0	0	1	1	0	0	0	0.25	0	0	0	0	0
se.healthstatus.2013.gocs-https-www	9	0.2222222222222222	0	1	0.7777777777777778	0	0	0	0.2222222222222222	0	0	0	0	0
se.healthstatus.2013.higher-education-http	40	0.125	0.025	0.95	0.3	0.025	0	0	0	0	0	0	0	0
se.healthstatus.2013.higher-education-http-www	47	0.10638297872340426	0.02127659574468085	0.9361702127659575	0.3191489361702128	0.02127659574468085	0	0	0	0	0	0	0	0
se.healthstatus.2013.higher-education-https	9	0	0	1	0.4444444444444444	0	0	0	0	0	0	0	0	0
se.healthstatus.2013.higher-education-https-www	24	0.16666666666666666	0.041666666666666664	1	0.4583333333333333	0.041666666666666664	0	0	0	0	0	0	0	0
se.healthstatus.2013.isps-http	18	0.3333333333333333	0.05555555555555555	1	0.6666666666666666	0	0	0	0.2222222222222222	0	0	0	0	0
se.healthstatus.2013.isps-http-www	19	0.42105263157894735	0.05263157894736842	1	0.6842105263157895	0.05263157894736842	0	0	0.21052631578947367	0	0	0	0	0
se.healthstatus.2013.isps-https	6	0.6666666666666666	0	1	1	0	0	0	0.3333333333333333	0	0	0	0	0
se.healthstatus.2013.isps-https-www	10	0.5	0	1	0.8	0	0	0	0.1	0	0	0	0	0
se.healthstatus.2013.media-http	26	0.9615384615384616	0	0.9615384615384616	0.9230769230769231	0	0.07692307692307693	0	0.19230769230769232	0	0.038461538461538464	0	0	0
se.healthstatus.2013.media-http-www	28	0.9642857142857143	0.07142857142857142	0.9642857142857143	0.9285714285714286	0	0.07142857142857142	0	0.25	0	0.03571428571428571	0	0	0
se.healthstatus.2013.media-https	4	0.75	0	1	1	0	0.25	0	0	0	0	0	0	0
se.healthstatus.2013.media-https-www	5	1	0	1	1	0	0.2	0	0.2	0	0	0	0	0
se.healthstatus.2013.municipalities-http	249	0.43775100401606426	0.04819277108433735	0.9518072289156626	0.3293172690763052	0.004016064257028112	0.004016064257028112	0	0	0	0	0	0	0
se.healthstatus.2013.municipalities-http-www	271	0.3948339483394834	0.05166051660516605	0.9446494464944649	0.3062730627306273	0.0036900369003690036	0.0036900369003690036	0	0	0	0	0	0	0
se.healthstatus.2013.municipalities-https	44	0.4772727272727273	0.045454545454545456	0.9318181818181818	0.29545454545454547	0	0	0	0	0	0	0	0	0
se.healthstatus.2013.municipalities-https-www	54	0.42592592592592593	0.037037037037037035	0.9259259259259259	0.2962962962962963	0	0	0	0	0	0	0	0	0
se.healthstatus.2013.public-authorities-http	170	0.3235294117647059	0.03529411764705882	0.9117647058823529	0.1588235294117647	0.023529411764705882	0	0	0.0058823529411764705	0	0	0	0	0
se.healthstatus.2013.public-authorities-http-www	203	0.3103448275862069	0.029556650246305417	0.9014778325123153	0.1330049261083744	0.019704433497536946	0	0	0.0049261083743842365	0	0	0	0	0
se.healthstatus.2013.public-authorities-https	18	0.2222222222222222	0.05555555555555555	0.7777777777777778	0.16666666666666666	0	0	0	0	0	0	0	0	0
se.healthstatus.2013.public-authorities-https-www	37	0.2702702702702703	0.02702702702702703	0.9459459459459459	0.24324324324324326	0	0	0	0	0	0	0	0	0
