Dataset	Domains w/ ext	html	script	style	image	data	text	font	object	document	(null)
alexa.2014-09-01.top.dk.10000-https	316	0.6107594936708861	0.9683544303797469	0.5253164556962026	0.939873417721519	0.1360759493670886	0.13924050632911392	0.08544303797468354	0	0	0.5886075949367089
alexa.2014-09-01.top.dk.10000-https-www	406	0.6305418719211823	0.9778325123152709	0.5123152709359606	0.9187192118226601	0.15517241379310345	0.16748768472906403	0.059113300492610835	0	0	0.5862068965517241
alexa.2014-09-01.top.se.10000-http	2684	0.6400894187779433	0.9631147540983607	0.5923994038748137	0.9355439642324889	0.15312965722801788	0.11214605067064083	0.0748882265275708	0.0011177347242921013	0	0.5532786885245902
alexa.2014-09-01.top.se.10000-http-www	2779	0.6448362720403022	0.9629363080244693	0.5840230298668586	0.9366678661388989	0.15761065131342208	0.0982367758186398	0.07484706729039223	0.0007196833393306944	0	0.5573947463116229
alexa.2014-09-01.top.se.10000-https	422	0.5853080568720379	0.9715639810426541	0.518957345971564	0.9383886255924171	0.11137440758293839	0.11848341232227488	0.07109004739336493	0	0	0.6540284360189573
alexa.2014-09-01.top.se.10000-https-www	630	0.5650793650793651	0.9777777777777777	0.49682539682539684	0.9285714285714286	0.1380952380952381	0.10952380952380952	0.06507936507936508	0.0015873015873015873	0	0.626984126984127
com.2014-08-29.random.10000-http	6222	0.7317582770813243	0.881067180970749	0.5046608807457409	0.9022822243651559	0.06573449051751848	0.048216007714561235	0.03407264545162327	0.0016072002571520412	0	0.27933140469302475
com.2014-08-29.random.10000-http-www	6241	0.7276077551674411	0.8828713347219996	0.5085723441756129	0.9035410991828232	0.06681621535010415	0.04967152699887838	0.0355712225604871	0.000801153661272232	0	0.2773593975324467
com.2014-08-29.random.10000-https	41	0.4634146341463415	0.8292682926829268	0.5121951219512195	0.7560975609756098	0.12195121951219512	0	0.07317073170731707	0	0	0.5121951219512195
com.2014-08-29.random.10000-https-www	43	0.4883720930232558	0.8837209302325582	0.5581395348837209	0.8372093023255814	0.13953488372093023	0.046511627906976744	0.06976744186046512	0	0	0.5348837209302325
dk.2014-07-23.random.10000-http	4626	0.5689580631214872	0.7965845222654561	0.6543450064850843	0.8045827929096412	0.07263294422827497	0.040639861651534805	0.03826199740596628	0.0012970168612191958	0	0.30912235192390836
dk.2014-07-23.random.10000-http-www	4773	0.5646344018437042	0.790278650743767	0.6455059710873664	0.8101822752985544	0.07165304839723445	0.042530902996019276	0.039388225434737065	0.001257071024512885	0	0.3142677561282212
dk.2014-07-23.random.10000-https	16	0.5	0.9375	0.4375	0.875	0	0.0625	0.0625	0	0	0.4375
dk.2014-07-23.random.10000-https-www	22	0.5	1	0.45454545454545453	0.9545454545454546	0.09090909090909091	0.045454545454545456	0	0	0	0.45454545454545453
net.2014-08-29.random.10000-http	5757	0.787041862080945	0.87163453187424	0.45457703665103355	0.9133229112384923	0.053326385270105955	0.056105610561056105	0.028834462393607783	0.001389612645475074	0.00017370158068438424	0.2511724856696196
net.2014-08-29.random.10000-http-www	5839	0.7850659359479363	0.8720671347833533	0.46018153793457783	0.917451618427813	0.05257749614660045	0.057372837814694294	0.02928583661585888	0.001370097619455386	0.00017126220243192326	0.25655077924302105
net.2014-08-29.random.10000-https	16	0.375	0.875	0.5625	0.8125	0	0	0.0625	0	0	0.375
net.2014-08-29.random.10000-https-www	20	0.5	0.85	0.55	0.85	0	0.05	0.05	0	0	0.5
reach50.2014w35.se-http	43	0.7441860465116279	0.9534883720930233	0.6511627906976745	0.9534883720930233	0.20930232558139536	0.13953488372093023	0.09302325581395349	0	0	0.627906976744186
reach50.2014w35.se-http-www	42	0.7142857142857143	0.9285714285714286	0.6190476190476191	0.9523809523809523	0.23809523809523808	0.16666666666666666	0.09523809523809523	0	0	0.6190476190476191
reach50.2014w35.se-https	17	0.5882352941176471	0.9411764705882353	0.6470588235294118	0.8823529411764706	0.23529411764705882	0	0.11764705882352941	0	0	0.7058823529411765
reach50.2014w35.se-https-www	26	0.46153846153846156	1	0.6153846153846154	0.9615384615384616	0.15384615384615385	0.038461538461538464	0.07692307692307693	0	0	0.6538461538461539
se.2014-07-10.random.100000-http	54882	0.5679822163915309	0.8486206770890273	0.7395138661127509	0.8493859553223279	0.06770890273678074	0.038519004409460295	0.03618672788892533	0.0005648482198170621	1.8220910316679423e-05	0.3268102474399621
se.2014-07-10.random.100000-http-www	57547	0.5585695170903783	0.8382887031469929	0.7278919839435591	0.8531635011382	0.06874380940796218	0.039202738631032026	0.03661355066293638	0.0005560672146245677	1.737710045701774e-05	0.32884424904860377
se.2014-07-10.random.100000-https	226	0.42035398230088494	0.9247787610619469	0.43805309734513276	0.8362831858407079	0.0752212389380531	0.02654867256637168	0.03982300884955752	0	0	0.4823008849557522
se.2014-07-10.random.100000-https-www	285	0.4	0.9298245614035088	0.43508771929824563	0.8491228070175438	0.08070175438596491	0.04912280701754386	0.031578947368421054	0	0	0.43859649122807015
se.healthstatus.2013.counties-http	18	0.2777777777777778	1	0.5555555555555556	0.9444444444444444	0	0	0	0	0	0.5
se.healthstatus.2013.counties-http-www	21	0.3333333333333333	1	0.5714285714285714	0.9523809523809523	0	0	0	0	0	0.5238095238095238
se.healthstatus.2013.counties-https	3	0	1	0.3333333333333333	1	0	0	0	0	0	0
se.healthstatus.2013.counties-https-www	5	0.2	1	0.6	1	0	0	0	0	0	0.4
se.healthstatus.2013.domain-registrars-http	108	0.4722222222222222	0.9166666666666666	0.5185185185185185	0.9166666666666666	0.09259259259259259	0.05555555555555555	0.06481481481481481	0	0	0.2962962962962963
se.healthstatus.2013.domain-registrars-http-www	113	0.4778761061946903	0.9026548672566371	0.5309734513274337	0.8938053097345132	0.08849557522123894	0.061946902654867256	0.05309734513274336	0	0	0.2920353982300885
se.healthstatus.2013.domain-registrars-https	34	0.5294117647058824	0.9411764705882353	0.5	0.9705882352941176	0.14705882352941177	0.14705882352941177	0.08823529411764706	0	0	0.5
se.healthstatus.2013.domain-registrars-https-www	36	0.3611111111111111	0.9444444444444444	0.4722222222222222	0.9722222222222222	0.1388888888888889	0.16666666666666666	0.05555555555555555	0	0	0.3333333333333333
se.healthstatus.2013.financial-services-http	67	0.43283582089552236	0.8955223880597015	0.34328358208955223	0.9402985074626866	0.16417910447761194	0.11940298507462686	0.014925373134328358	0	0	0.34328358208955223
se.healthstatus.2013.financial-services-http-www	71	0.4225352112676056	0.8732394366197183	0.36619718309859156	0.9436619718309859	0.1267605633802817	0.1267605633802817	0.014084507042253521	0	0	0.36619718309859156
se.healthstatus.2013.financial-services-https	16	0.125	0.875	0.3125	0.9375	0.125	0.125	0	0	0	0.5
se.healthstatus.2013.financial-services-https-www	31	0.3225806451612903	0.9354838709677419	0.2903225806451613	0.9354838709677419	0.22580645161290322	0.16129032258064516	0.03225806451612903	0	0	0.4838709677419355
se.healthstatus.2013.gocs-http	48	0.5208333333333334	0.9791666666666666	0.4166666666666667	0.9375	0.08333333333333333	0.020833333333333332	0.041666666666666664	0	0	0.2916666666666667
se.healthstatus.2013.gocs-http-www	55	0.509090909090909	0.9818181818181818	0.43636363636363634	0.9454545454545454	0.12727272727272726	0.03636363636363636	0.05454545454545454	0	0	0.2909090909090909
se.healthstatus.2013.gocs-https	4	0.5	0.75	0.25	0.75	0.25	0.25	0.5	0	0	0.75
