Dataset	Domains	Int insec	Mix int sec	Int sec	Ext insec	Mix ext sec	Ext sec	All insec	Mix sec	All sec
se.healthstatus.2013.gocs-http-www	57	0.8596491228070176	0.12280701754385959	0.017543859649122806	0.49122807017543857	0.49122807017543857	0.017543859649122806	0.5263157894736842	0.45614035087719296	0.017543859649122806
se.healthstatus.2013.gocs-https	4	0.25	0	0.75	0	0.25	0.75	0	0.25	0.75
se.healthstatus.2013.gocs-https-www	9	0	0.11111111111111116	0.8888888888888888	0	0.4444444444444444	0.5555555555555556	0	0.5555555555555556	0.4444444444444444
se.healthstatus.2013.higher-education-http	40	0.875	0.125	0	0.675	0.32499999999999996	0	0.65	0.35	0
se.healthstatus.2013.higher-education-http-www	47	0.8723404255319149	0.12765957446808507	0	0.6382978723404256	0.36170212765957444	0	0.6382978723404256	0.36170212765957444	0
se.healthstatus.2013.higher-education-https	9	0.2222222222222222	0.44444444444444453	0.3333333333333333	0.3333333333333333	0.3333333333333334	0.3333333333333333	0.1111111111111111	0.6666666666666667	0.2222222222222222
se.healthstatus.2013.higher-education-https-www	24	0.25	0.08333333333333337	0.6666666666666666	0.20833333333333334	0.3749999999999999	0.4166666666666667	0.20833333333333334	0.3749999999999999	0.4166666666666667
se.healthstatus.2013.isps-http	18	0.7222222222222222	0.16666666666666663	0.1111111111111111	0.3888888888888889	0.49999999999999994	0.1111111111111111	0.3333333333333333	0.5555555555555556	0.1111111111111111
se.healthstatus.2013.isps-http-www	19	0.7894736842105263	0.10526315789473684	0.10526315789473684	0.3684210526315789	0.5789473684210527	0.05263157894736842	0.3157894736842105	0.6315789473684211	0.05263157894736842
se.healthstatus.2013.isps-https	6	0.3333333333333333	0.16666666666666669	0.5	0	0.6666666666666667	0.3333333333333333	0	0.6666666666666667	0.3333333333333333
se.healthstatus.2013.isps-https-www	10	0.3	0.2	0.5	0.1	0.5	0.4	0	0.7	0.3
se.healthstatus.2013.media-http	26	0.8846153846153846	0.11538461538461542	0	0.15384615384615385	0.8461538461538461	0	0.19230769230769232	0.8076923076923077	0
se.healthstatus.2013.media-http-www	28	0.8571428571428571	0.1428571428571429	0	0.14285714285714285	0.8571428571428572	0	0.17857142857142858	0.8214285714285714	0
se.healthstatus.2013.media-https	4	0.5	0.25	0.25	0	1	0	0	1	0
se.healthstatus.2013.media-https-www	5	0.4	0.4	0.2	0	1	0	0	1	0
se.healthstatus.2013.municipalities-http	249	0.9919678714859438	0	0.008032128514056224	0.4779116465863454	0.5140562248995983	0.008032128514056224	0.5180722891566265	0.4738955823293173	0.008032128514056224
se.healthstatus.2013.municipalities-http-www	271	0.985239852398524	0.0036900369003690647	0.01107011070110701	0.4944649446494465	0.4944649446494465	0.01107011070110701	0.5424354243542435	0.4464944649446495	0.01107011070110701
se.healthstatus.2013.municipalities-https	44	0.2727272727272727	0.20454545454545459	0.5227272727272727	0.25	0.5909090909090909	0.1590909090909091	0.22727272727272727	0.5681818181818181	0.20454545454545456
se.healthstatus.2013.municipalities-https-www	54	0.25925925925925924	0.1296296296296296	0.6111111111111112	0.14814814814814814	0.6296296296296297	0.2222222222222222	0.14814814814814814	0.6111111111111112	0.24074074074074073
se.healthstatus.2013.public-authorities-http	170	0.8705882352941177	0.11176470588235288	0.01764705882352941	0.6058823529411764	0.3529411764705883	0.041176470588235294	0.6529411764705882	0.32352941176470584	0.023529411764705882
se.healthstatus.2013.public-authorities-http-www	203	0.8719211822660099	0.10837438423645318	0.019704433497536946	0.6009852216748769	0.3645320197044335	0.034482758620689655	0.6748768472906403	0.30541871921182273	0.019704433497536946
se.healthstatus.2013.public-authorities-https	18	0.3888888888888889	-5.551115123125783e-17	0.6111111111111112	0.2777777777777778	0.5	0.2222222222222222	0.3333333333333333	0.3333333333333334	0.3333333333333333
se.healthstatus.2013.public-authorities-https-www	37	0.21621621621621623	0.1351351351351351	0.6486486486486487	0.13513513513513514	0.4594594594594594	0.40540540540540543	0.16216216216216217	0.5135135135135135	0.32432432432432434
